timestamp,avg,qty
1575018000,16155,1
1575406200,15865,8
1575471900,15865,1
1575833100,15038,33
1575924900,15046,5
1575929700,15044,9
1575935400,15044,22
1576090500,5001,1
1576091100,5001,1
1576377000,5002,1
1576812900,10776,1
1576997400,10342,1
1577033700,12788,5
1577419200,12971,1
1577550300,12861,3
1577742300,12526,5
1577971200,12656,1
1577997300,12649,3
1577999100,12646,2
1578433200,12802,5
1578776700,12666,22
1578943500,12683,3
1578947100,12683,2
1579142100,10345,1
1579383600,10345,3
1579437900,13692,2
1580055000,10345,1
1580132100,15251,3
1581261900,4318,2
1581316500,10000,4
1581623700,5002,1
1583387100,18649,1
1583980500,12483,1
1584050700,13270,1
1584400500,17000,1
1584402300,17000,2
1584407700,17000,7
1584423900,15730,1
1584482700,17000,4
1584484500,16600,5
1584488100,14571,7
1584577500,13980,1
1585105500,14614,1
1585222500,14796,1
1585419900,10,1
1585421700,10,1
1585556700,14978,1
1585680000,12597,1
1585757100,12483,1
1585823100,14425,12
1585977000,14832,4
1586155200,12483,1
1586320200,14015,1
1586514000,14537,2
1586625900,12802,1
1586627700,13138,2
1586629500,13475,1
1586817600,13770,4
1586988300,11432,1
1586995800,12666,1
1587098400,12595,1
1587314700,10999,3
1587420300,11860,4
1587473100,11862,1
1587586800,8946,1
1587588600,8946,1
1587841500,12011,1
1588248000,12739,1
1588839000,14995,1
1589046300,8946,1
1589135700,15550,1
1589155500,15672,3
1589482500,16086,1
1589495100,16563,45
1589513400,16086,2
1589515200,16086,6
1589517000,16086,5
1589754300,15445,8
1589856000,15220,10
1590168000,15080,3
1590372600,14429,9
1590655500,9000,2
1590675900,9000,4
1591258200,14338,1
1591788600,18980,1
1592514300,10001,1
1594011300,14996,3
1595882100,23362,1
1596031200,30000,4
1596505200,20000,10
1596570600,20000,6
1596813300,21079,1
1596852300,24000,5
1597289700,22000,1
1598810100,10351,1
1601113500,25000,1
1601280600,25000,1
1601418900,22800,5
1602264300,22000,1
1602518100,23996,1
1602599100,26996,18
1602774900,22888,9
1606002900,23545,1
1608402600,20720,1
1610916300,15804,1
1612415100,13895,1
1612415400,13895,1
1612415700,13895,1
1612416600,13895,1
1612417500,16300,1
1612417800,16300,1
1612418100,16300,1
1612418400,16300,1
1612419300,16300,1
