timestamp,avg,qty
1574973000,1485,2662
1574973300,1476,12152
1574973600,1485,2662
1574974200,1476,12152
1574974800,1474,16835
1574975400,1473,17696
1574977200,1470,14630
1574977500,1473,19866
1574978100,1470,14630
1574978400,1467,15418
1574979000,1466,24420
1574979600,1467,15418
1574979900,1466,24420
1574980200,1465,30569
1574980800,1466,32950
1574981100,1465,30569
1574981700,1466,32950
1574982600,1465,24676
1574984400,1461,10941
1574984700,1465,16662
1574985000,1461,10941
1574985300,1462,9573
1574985600,1461,10941
1574986200,1460,17780
1574986500,1462,9573
1574987100,1460,23304
1574988000,1462,24017
1574988300,1460,23304
1574988900,1462,24017
1574989500,1463,19233
1574990400,1467,8485
1574992800,1465,10939
1574994300,1461,26255
1574996400,1460,24895
1574997900,1456,15036
1575000000,1455,42541
1575001500,1456,37996
1575003600,1459,9809
1575005100,1460,13807
1575007200,1469,14736
1575008700,1474,8958
1575010800,1468,6942
1575012000,1466,11904
1575014100,1465,28735
1575023400,1464,6574
1575023700,1460,8941
1575025200,1457,12300
1575027300,1458,7076
1575029100,1457,16059
1575029700,1458,17097
1575030000,1457,16059
1575030300,1458,17097
1575032700,1461,7872
1575034500,1458,9427
1575036000,1454,9232
1575039600,1453,31233
1575042000,1452,17281
1575042300,1453,15632
1575042600,1452,17281
1575042900,1453,15632
1575043500,1455,9254
1575043800,1456,6917
1575044100,1455,9254
1575044400,1456,6917
1575045000,1455,9254
1575045300,1454,10563
1575045600,1456,6917
1575045900,1453,10911
1575046500,1454,10563
1575046800,1453,10911
1575047700,1449,14611
1575049200,1441,18625
1575051000,1442,16339
1575052800,1450,10424
1575053100,1445,13544
1575053400,1450,10424
1575053700,1445,13544
1575054000,1450,10424
1575054600,1445,13544
1575055200,1433,25532
1575056700,1430,46228
1575060600,1429,24250
1575062100,1426,28682
1575062400,1422,16484
1575062700,1420,16996
1575063300,1422,16484
1575063600,1420,16996
1575064200,1431,7644
1575064500,1435,7515
1575065100,1431,7644
1575065400,1435,7515
1575065700,1431,7644
1575066000,1454,7703
1575068100,1448,8728
1575069900,1439,9394
1575071700,1435,16304
1575073500,1433,28102
1575075300,1437,33746
1575077100,1448,17436
1575079200,1454,14810
1575081000,1453,26905
1575081600,1451,26654
1575081900,1453,26905
1575082500,1451,26654
1575086700,1454,5875
1575088500,1452,18127
1575092100,1457,11593
1575092400,1458,11383
1575092700,1457,11593
1575093300,1458,11383
1575093600,1457,11593
1575093900,1460,9078
1575094200,1459,7813
1575095100,1460,9078
1575095700,1453,13821
1575099600,1456,2780
1575099900,1463,2210
1575100200,1456,2780
1575100500,1463,2210
1575102000,1456,5496
1575103800,1458,7742
1575104100,1456,6183
1575104700,1458,7742
1575105300,1463,8235
1575105900,1468,6127
1575106500,1460,15054
1575106800,1468,6127
1575107400,1460,15054
1575108600,1458,13950
1575108900,1455,11979
1575109800,1454,9999
1575110400,1449,2735
1575110700,1454,9999
1575111300,1445,16296
1575111600,1449,2735
1575112200,1445,16296
1575117300,1442,9871
1575118500,1439,23021
1575118800,1442,16825
1575119100,1439,23021
1575120300,1438,25996
1575120900,1436,19947
1575121200,1430,17771
1575122100,1436,19947
1575122400,1429,14874
1575122700,1430,17771
1575123000,1429,19987
1575126300,1427,28927
1575126900,1426,29376
1575127200,1427,28927
1575127800,1426,29376
1575132000,1427,18234
1575133800,1434,8280
1575134400,1432,12054
1575135000,1431,20502
1575135300,1432,12054
1575135600,1431,20502
1575136800,1430,47892
1575139500,1429,33439
1575140700,1426,19103
1575141000,1429,34389
1575141300,1427,16139
1575141900,1426,19103
1575142200,1427,16139
1575143100,1428,18672
1575143400,1427,21224
1575143700,1428,18672
1575144600,1427,22911
1575144900,1426,22911
1575145200,1427,22911
1575146100,1425,22245
1575146400,1426,22911
1575146700,1425,22749
1575147900,1430,13193
1575148800,1431,14630
1575149100,1430,13193
1575149400,1431,14630
1575149700,1432,22259
1575150000,1431,14630
1575150300,1432,22259
1575150600,1431,22392
1575150900,1432,22259
1575151200,1431,22392
1575151800,1430,37689
1575155700,1426,20012
1575156000,1427,28674
1575156300,1426,20012
1575156900,1425,15080
1575157200,1426,20012
1575157800,1425,15080
1575158100,1426,15469
1575158400,1425,15080
1575158700,1426,15469
1575159300,1431,10414
1575159600,1432,8605
1575159900,1431,10414
1575160800,1429,17017
1575161400,1430,19450
1575161700,1429,17017
1575162000,1430,19450
1575163200,1429,20403
1575164100,1430,23654
1575164700,1431,19714
1575165900,1430,42628
1575166200,1431,25182
1575166500,1430,44988
1575170100,1433,30271
1575171900,1439,12761
1575173700,1434,10234
1575175200,1411,13201
1575175500,1415,17399
1575176100,1416,18229
1575176700,1415,17399
1575177300,1436,11044
1575179400,1434,23898
1575181200,1432,34539
1575183000,1433,19316
1575184800,1437,7482
1575186600,1435,12811
1575190200,1436,11566
1575190500,1435,23545
1575190800,1436,11566
1575191400,1437,12345
1575192000,1436,11566
1575192300,1437,8015
1575192900,1438,11145
1575193500,1437,8015
1575194100,1438,11145
1575194700,1437,11906
1575195300,1436,12677
1575196500,1435,15597
1575199800,1437,18423
1575201300,1442,5774
1575201600,1437,13967
1575202200,1442,5774
1575202800,1438,8489
1575203700,1434,14257
1575204900,1435,21255
1575205200,1434,15281
1575205800,1435,21255
